Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Direct Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1),Zone Air Temperature(SPACE1-1),Zone Thermostat Heating Setpoint Temperature(SPACE1-1),Zone Thermostat Cooling Setpoint Temperature(SPACE1-1)
4.8,92.5,11.85,0.0,0.0,15.553844,12.8,40.0
5.2,92.25,12.125,0.0,0.0,15.55896,12.8,40.0
5.6,92.0,12.4,0.0,0.0,15.513741,12.8,40.0
6.15,92.25,12.65,0.0,0.0,17.356964,21.1,23.9
6.7,92.5,12.9,0.0,0.0,18.850529,21.1,23.9
7.25,92.75,13.15,0.0,0.0,19.59753,21.1,23.9
7.8,93.0,13.4,0.0,0.0,20.211155,21.1,23.9
7.925,93.0,13.775,0.0,11.0,20.978466,21.1,23.9
8.05,93.0,14.15,0.0,11.0,21.09724,21.1,23.9
8.175,93.0,14.525,0.0,11.0,21.099638,21.1,23.9
8.3,93.0,14.9,0.0,11.0,21.099953,21.1,23.9
8.725,93.0,14.775,0.0,11.0,21.1,21.1,23.9
9.15,93.0,14.65,0.0,11.0,21.1,21.1,23.9
9.575,93.0,14.525,0.0,11.0,21.100008,21.1,23.9
10.0,93.0,14.4,0.0,11.0,21.100029,21.1,23.9
10.5,93.25,11.7,0.0,11.0,21.10001,21.1,23.9
11.0,93.5,9.0,0.0,11.0,21.134447,21.1,23.9
11.5,93.75,6.3,0.0,11.0,21.263369,21.1,23.9
12.0,94.0,3.6,0.0,11.0,21.46015,21.1,23.9
11.65,94.5,3.475,0.0,8.8,21.555424,21.1,23.9
11.3,95.0,3.35,0.0,8.8,21.594381,21.1,23.9
10.95,95.5,3.225,0.0,8.8,21.62286,21.1,23.9
10.6,96.0,3.1,0.0,8.8,21.646864,21.1,23.9
10.45,96.0,4.0,0.0,4.4,21.603794,21.1,23.9
10.3,96.0,4.9,0.0,4.4,21.551826,21.1,23.9
10.15,96.0,5.8,0.0,4.4,21.506802,21.1,23.9
10.0,96.0,6.7,0.0,4.4,21.46397,21.1,23.9
