Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Direct Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1),Zone Air Temperature(SPACE1-1),Zone Thermostat Heating Setpoint Temperature(SPACE1-1),Zone Thermostat Cooling Setpoint Temperature(SPACE1-1)
2.5,80.5,1.5,0.0,11.0,22.66248,21.1,23.9
2.25,80.25,1.5,0.0,11.0,22.409037,21.1,23.9
2.0,80.0,1.5,0.0,11.0,22.1845,21.1,23.9
2.0,80.0,1.5,0.0,5.5,22.540134,12.8,40.0
2.0,80.0,1.5,0.0,5.5,22.659616,12.8,40.0
2.0,80.0,1.5,0.0,5.5,22.60666,12.8,40.0
2.0,80.0,1.5,0.0,5.5,22.51444,12.8,40.0
1.75,83.25,1.125,0.0,1.1,22.170797,12.8,40.0
1.5,86.5,0.75,0.0,1.1,21.789299,12.8,40.0
1.25,89.75,0.375,0.0,1.1,21.51282,12.8,40.0
1.0,93.0,0.0,0.0,1.1,21.307405,12.8,40.0
1.25,91.5,0.375,0.0,1.1,21.000914,12.8,40.0
1.5,90.0,0.75,0.0,1.1,20.627611,12.8,40.0
1.75,88.5,1.125,0.0,1.1,20.36751,12.8,40.0
2.0,87.0,1.5,0.0,1.1,20.138882,12.8,40.0
1.75,86.75,1.125,0.0,0.0,19.865744,12.8,40.0
1.5,86.5,0.75,0.0,0.0,19.605316,12.8,40.0
1.25,86.25,0.375,0.0,0.0,19.35595,12.8,40.0
1.0,86.0,0.0,0.0,0.0,19.138926,12.8,40.0
0.75,87.5,0.0,0.0,0.0,18.942835,12.8,40.0
0.5,89.0,0.0,0.0,0.0,18.762764,12.8,40.0
0.25,90.5,0.0,0.0,0.0,18.587114,12.8,40.0
0.0,92.0,0.0,0.0,0.0,18.414595,12.8,40.0
0.075,91.75,0.0,0.0,0.0,18.252037,12.8,40.0
0.15,91.5,0.0,0.0,0.0,18.099154,12.8,40.0
0.225,91.25,0.0,0.0,0.0,17.95405,12.8,40.0
0.3,91.0,0.0,0.0,0.0,17.815666,12.8,40.0
0.35,90.75,0.0,0.0,0.0,17.683481,12.8,40.0
0.4,90.5,0.0,0.0,0.0,17.557135,12.8,40.0
0.45,90.25,0.0,0.0,0.0,17.436556,12.8,40.0
0.5,90.0,0.0,0.0,0.0,17.321339,12.8,40.0
0.475,90.25,0.0,0.0,0.0,17.209383,12.8,40.0
0.45,90.5,0.0,0.0,0.0,17.100718,12.8,40.0
0.425,90.75,0.0,0.0,0.0,16.995724,12.8,40.0
0.4,91.0,0.0,0.0,0.0,16.894438,12.8,40.0
0.45,90.75,0.0,0.0,0.0,16.798367,12.8,40.0
0.5,90.5,0.0,0.0,0.0,16.707159,12.8,40.0
0.55,90.25,0.0,0.0,0.0,16.620176,12.8,40.0
0.6,90.0,0.0,0.0,0.0,16.537085,12.8,40.0
0.5,90.25,0.0,0.0,0.0,16.454882,12.8,40.0
0.4,90.5,0.0,0.0,0.0,16.373722,12.8,40.0
0.3,90.75,0.0,0.0,0.0,16.294342,12.8,40.0
0.2,91.0,0.0,0.0,0.0,16.21696,12.8,40.0
0.15,91.25,0.0,0.0,0.0,16.158747,12.8,40.0
0.1,91.5,0.0,0.0,0.0,16.109333,12.8,40.0
0.05,91.75,0.0,0.0,0.0,16.063742,12.8,40.0
0.0,92.0,0.0,0.0,0.0,16.021742,12.8,40.0
0.25,90.5,0.0,0.0,0.0,15.989062,12.8,40.0
0.5,89.0,0.0,0.0,0.0,15.964601,12.8,40.0
0.75,87.5,0.0,0.0,0.0,15.946055,12.8,40.0
1.0,86.0,0.0,0.0,0.0,15.932282,12.8,40.0
1.0,86.0,0.0,0.0,0.0,15.831682,12.8,40.0
1.0,86.0,0.0,0.0,0.0,15.767586,12.8,40.0
1.0,86.0,0.0,0.0,0.0,15.730524,12.8,40.0
1.0,86.0,0.0,0.0,0.0,15.701331,12.8,40.0
1.075,84.5,0.0,0.0,0.0,17.033144,21.1,23.9
1.15,83.0,0.0,0.0,0.0,17.954803,21.1,23.9
1.225,81.5,0.0,0.0,0.0,18.577362,21.1,23.9
1.3,80.0,0.0,0.0,0.0,18.99116,21.1,23.9
1.475,78.25,0.0,83.25,11.0,20.019527,21.1,23.9
1.65,76.5,0.0,111.0,11.0,20.823792,21.1,23.9
1.825,74.75,0.0,93.75,11.0,21.08563,21.1,23.9
2.0,73.0,0.0,76.5,11.0,21.099623,21.1,23.9
2.125,73.25,0.0,59.25,11.0,21.09996,21.1,23.9
2.25,73.5,0.0,42.0,11.0,21.09987,21.1,23.9
2.375,73.75,0.0,31.5,11.0,21.099762,21.1,23.9
2.5,74.0,0.0,21.0,11.0,21.122242,21.1,23.9
2.625,74.0,0.0,10.5,11.0,21.178833,21.1,23.9
2.75,74.0,0.0,0.0,11.0,21.24378,21.1,23.9
2.875,74.0,0.0,0.0,11.0,21.319883,21.1,23.9
3.0,74.0,0.0,0.0,11.0,21.402433,21.1,23.9
3.0,74.0,0.525,0.0,8.8,21.433435,21.1,23.9
3.0,74.0,1.05,0.0,8.8,21.465029,21.1,23.9
3.0,74.0,1.575,0.0,8.8,21.495049,21.1,23.9
3.0,74.0,2.1,0.0,8.8,21.517511,21.1,23.9
3.0,74.0,1.575,0.0,4.4,21.457767,21.1,23.9
3.0,74.0,1.05,0.0,4.4,21.421715,21.1,23.9
3.0,74.0,0.525,0.0,4.4,21.414492,21.1,23.9
3.0,74.0,0.0,0.0,4.4,21.419325,21.1,23.9
3.0,75.75,0.0,0.0,8.8,21.505178,21.1,23.9
3.0,77.5,0.0,0.0,8.8,21.565416,21.1,23.9
3.0,79.25,0.0,0.0,8.8,21.599428,21.1,23.9
3.0,81.0,0.0,0.0,8.8,21.62471,21.1,23.9
3.0,79.25,0.375,0.0,11.0,21.642357,21.1,23.9
3.0,77.5,0.75,0.0,11.0,21.653091,21.1,23.9
3.0,75.75,1.125,0.0,11.0,21.654438,21.1,23.9
3.0,74.0,1.5,0.0,11.0,21.646898,21.1,23.9
3.25,71.5,1.5,0.0,11.0,21.59578,21.1,23.9
3.5,69.0,1.5,0.0,11.0,21.558977,21.1,23.9
3.75,66.5,1.5,0.0,11.0,21.543139,21.1,23.9
4.0,64.0,1.5,0.0,11.0,21.534908,21.1,23.9
3.75,68.25,1.5,0.0,11.0,21.4212,21.1,23.9
3.5,72.5,1.5,0.0,11.0,21.321716,21.1,23.9
3.25,76.75,1.5,0.0,11.0,21.259714,21.1,23.9
3.0,81.0,1.5,0.0,11.0,21.212503,21.1,23.9
2.85,82.0,1.5,0.0,11.0,21.169731,21.1,23.9
2.7,83.0,1.5,0.0,11.0,21.12997,21.1,23.9
2.55,84.0,1.5,0.0,11.0,21.103645,21.1,23.9
2.4,85.0,1.5,0.0,11.0,21.10022,21.1,23.9
2.325,86.0,1.5,0.0,5.5,21.35632,12.8,40.0
2.25,87.0,1.5,0.0,5.5,21.486355,12.8,40.0
2.175,88.0,1.5,0.0,5.5,21.482586,12.8,40.0
2.1,89.0,1.5,0.0,5.5,21.451172,12.8,40.0
2.075,90.0,1.5,0.0,1.1,21.150229,12.8,40.0
2.05,91.0,1.5,0.0,1.1,20.833471,12.8,40.0
2.025,92.0,1.5,0.0,1.1,20.610144,12.8,40.0
2.0,93.0,1.5,0.0,1.1,20.446854,12.8,40.0
2.0,93.0,1.125,0.0,1.1,20.184351,12.8,40.0
2.0,93.0,0.75,0.0,1.1,19.878792,12.8,40.0
2.0,93.0,0.375,0.0,1.1,19.667292,12.8,40.0
2.0,93.0,0.0,0.0,1.1,19.518425,12.8,40.0
1.975,93.25,0.15,0.0,0.0,19.29217,12.8,40.0
1.95,93.5,0.3,0.0,0.0,19.06085,12.8,40.0
1.925,93.75,0.45,0.0,0.0,18.867277,12.8,40.0
1.9,94.0,0.6,0.0,0.0,18.699581,12.8,40.0
1.9,94.25,0.75,0.0,0.0,18.539257,12.8,40.0
1.9,94.5,0.9,0.0,0.0,18.383821,12.8,40.0
1.9,94.75,1.05,0.0,0.0,18.23504,12.8,40.0
1.9,95.0,1.2,0.0,0.0,18.093176,12.8,40.0
1.975,94.5,1.35,0.0,0.0,17.959093,12.8,40.0
2.05,94.0,1.5,0.0,0.0,17.832258,12.8,40.0
2.125,93.5,1.65,0.0,0.0,17.711624,12.8,40.0
2.2,93.0,1.8,0.0,0.0,17.596691,12.8,40.0
2.25,92.75,1.925,0.0,0.0,17.48678,12.8,40.0
2.3,92.5,2.05,0.0,0.0,17.381655,12.8,40.0
2.35,92.25,2.175,0.0,0.0,17.281225,12.8,40.0
2.4,92.0,2.3,0.0,0.0,17.185135,12.8,40.0
2.375,92.25,2.45,0.0,0.0,17.09137,12.8,40.0
2.35,92.5,2.6,0.0,0.0,16.999958,12.8,40.0
2.325,92.75,2.75,0.0,0.0,16.911287,12.8,40.0
2.3,93.0,2.9,0.0,0.0,16.82542,12.8,40.0
2.325,92.75,3.05,0.0,0.0,16.743296,12.8,40.0
2.35,92.5,3.2,0.0,0.0,16.664713,12.8,40.0
2.375,92.25,3.35,0.0,0.0,16.589235,12.8,40.0
2.4,92.0,3.5,0.0,0.0,16.516624,12.8,40.0
2.3,92.25,3.65,0.0,0.0,16.443888,12.8,40.0
2.2,92.5,3.8,0.0,0.0,16.371058,12.8,40.0
