Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Direct Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1),Zone Air Temperature(SPACE1-1),Zone Thermostat Heating Setpoint Temperature(SPACE1-1),Zone Thermostat Cooling Setpoint Temperature(SPACE1-1)
-3.25,61.25,6.5,0.0,11.0,21.10001,21.1,23.9
-3.4,62.0,6.1,0.0,11.0,21.100025,21.1,23.9
-3.4,62.75,6.5,0.0,11.0,21.100132,21.1,23.9
-3.4,63.5,6.9,0.0,11.0,21.100174,21.1,23.9
-3.4,64.25,7.3,0.0,11.0,21.100233,21.1,23.9
-3.4,65.0,7.7,0.0,11.0,21.100271,21.1,23.9
-3.4,65.0,7.425,0.0,11.0,21.100288,21.1,23.9
-3.4,65.0,7.15,0.0,11.0,21.10025,21.1,23.9
-3.4,65.0,6.875,0.0,11.0,21.100248,21.1,23.9
-3.4,65.0,6.6,0.0,11.0,21.100248,21.1,23.9
-3.4,65.0,6.35,0.0,5.5,20.85707,12.8,40.0
-3.4,65.0,6.1,0.0,5.5,20.615917,12.8,40.0
-3.4,65.0,5.85,0.0,5.5,20.453781,12.8,40.0
-3.4,65.0,5.6,0.0,5.5,20.340048,12.8,40.0
-3.4,65.0,5.475,0.0,1.1,19.971466,12.8,40.0
-3.4,65.0,5.35,0.0,1.1,19.569973,12.8,40.0
-3.4,65.0,5.225,0.0,1.1,19.290941,12.8,40.0
-3.4,65.0,5.1,0.0,1.1,19.078514,12.8,40.0
-3.4,65.0,5.625,0.0,1.1,18.791187,12.8,40.0
-3.4,65.0,6.15,0.0,1.1,18.451317,12.8,40.0
-3.4,65.0,6.675,0.0,1.1,18.196606,12.8,40.0
-3.4,65.0,7.2,0.0,1.1,17.984743,12.8,40.0
-3.525,67.5,6.925,0.0,0.0,17.72675,12.8,40.0
-3.65,70.0,6.65,0.0,0.0,17.465034,12.8,40.0
-3.775,72.5,6.375,0.0,0.0,17.247364,12.8,40.0
-3.9,75.0,6.1,0.0,0.0,17.038074,12.8,40.0
-3.9,76.75,6.375,0.0,0.0,16.846249,12.8,40.0
-3.9,78.5,6.65,0.0,0.0,16.663092,12.8,40.0
-3.9,80.25,6.925,0.0,0.0,16.485945,12.8,40.0
-3.9,82.0,7.2,0.0,0.0,16.31505,12.8,40.0
