Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Direct Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1),Zone Air Temperature(SPACE1-1),Zone Thermostat Heating Setpoint Temperature(SPACE1-1),Zone Thermostat Cooling Setpoint Temperature(SPACE1-1)
12.75,38.25,3.225,0.0,1.1,23.819427,12.8,40.0
12.0,40.0,3.6,0.0,1.1,23.40042,12.8,40.0
11.5,42.5,3.35,0.0,0.0,22.694946,12.8,40.0
11.0,45.0,3.1,0.0,0.0,22.215668,12.8,40.0
10.5,47.5,2.85,0.0,0.0,21.791332,12.8,40.0
10.0,50.0,2.6,0.0,0.0,21.379208,12.8,40.0
10.0,50.0,2.6,0.0,0.0,21.013594,12.8,40.0
10.0,50.0,2.6,0.0,0.0,20.687937,12.8,40.0
10.0,50.0,2.6,0.0,0.0,20.390577,12.8,40.0
10.0,50.0,2.6,0.0,0.0,20.118141,12.8,40.0
10.0,50.0,2.85,0.0,0.0,19.865717,12.8,40.0
10.0,50.0,3.1,0.0,0.0,19.631554,12.8,40.0
10.0,50.0,3.35,0.0,0.0,19.414759,12.8,40.0
10.0,50.0,3.6,0.0,0.0,19.21378,12.8,40.0
9.75,50.75,3.225,0.0,0.0,19.245903,12.8,40.0
9.5,51.5,2.85,0.0,0.0,19.250275,12.8,40.0
9.25,52.25,2.475,0.0,0.0,19.186647,12.8,40.0
9.0,53.0,2.1,0.0,0.0,19.100718,12.8,40.0
9.0,53.0,2.35,0.0,0.0,19.017729,12.8,40.0
9.0,53.0,2.6,0.0,0.0,18.93972,12.8,40.0
9.0,53.0,2.85,0.0,0.0,18.863905,12.8,40.0
9.0,53.0,3.1,0.0,0.0,18.789469,12.8,40.0
9.0,53.0,2.975,0.0,0.0,18.719437,12.8,40.0
9.0,53.0,2.85,0.0,0.0,18.652071,12.8,40.0
9.0,53.0,2.725,0.0,0.0,18.586416,12.8,40.0
